Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,43751,-83.01437,125,,,,,,
,,,,,43849,-56.60897,98,,,,,,
,,,,,43959,-44.35345,110,,,,,,
,,,,,44000,,,11.721713066101074,31.811948776245117,31.835491180419922,77.31902313232422,0.736,0.001
,,,,,44059,-127.27541,100,,,,,,
,,,,,44140,-15.453743,81,,,,,,
,,,,,44243,-106.909874,103,,,,,,
,,,,,44366,-29.376312,123,,,,,,
,,,,,44453,-97.96469,87,,,,,,
,,,,,44530,-165.25214,77,,,,,,
,,,,,44612,-42.13477,82,,,,,,
,,,,,44677,-70.65349,65,,,,,,
,,,,,44795,-138.36034,118,,,,,,
,,,,,44896,-82.96377,101,,,,,,
,,,,,45000,,,10.011083602905273,38.58509063720703,38.862274169921875,60.82637405395508,0.73,0.001
,,,,,45016,-52.06658,120,,,,,,
,,,,,45076,-102.97592,60,,,,,,
,,,,,45188,-90.99682,112,,,,,,
,,,,,45315,-61.010605,127,,,,,,
,,,,,45434,-44.537827,119,,,,,,
,,,,,45600,-84.13252,166,,,,,,
,,,,,45686,-69.63072,86,,,,,,
,,,,,45799,-79.09003,113,,,,,,
,,,,,45907,-63.096016,108,,,,,,
,,,,,46000,,,21.695606231689453,68.68954467773438,69.09962463378906,59.71067810058594,0.724,0.001
,,,,,46009,-51.582954,102,,,,,,
,,,,,46080,-63.563007,71,,,,,,
,,,,,46669,-239.47632,589,,,,,,
,,,,,46811,-34.681335,142,,,,,,
,,,,,46946,-87.79956,135,,,,,,
,,,,,47000,,,251.4084930419922,65.31015014648438,66.90398406982422,188.6974639892578,0.718,0.001
,,,,,47060,-106.27539,114,,,,,,
,,,,,47234,-65.11362,174,,,,,,
,,,,,47401,-213.28406,167,,,,,,
,,,,,47498,-33.250298,97,,,,,,
,,,,,47628,-65.23218,130,,,,,,
,,,,,47755,-45.819126,127,,,,,,
,,,,,47860,-152.17203,105,,,,,,
,,,,,47968,-169.38766,108,,,,,,
,,,,,48000,,,30.80766487121582,44.23809051513672,43.984336853027344,97.2066421508789,0.712,0.001
,,,,,48079,-109.404015,111,,,,,,
,,,,,48172,-49.676754,93,,,,,,
,,,,,48276,-46.318737,104,,,,,,
,,,,,48367,-71.14453,91,,,,,,
,,,,,48472,-89.75126,105,,,,,,
,,,,,48615,-69.08391,143,,,,,,
,,,,,48738,-67.93174,123,,,,,,
,,,,,48854,-82.899895,116,,,,,,
,,,,,48977,-71.17294,123,,,,,,
,,,,,49000,,,12.289889335632324,52.19859313964844,52.41587829589844,117.84252166748047,0.706,0.001
,,,,,49047,-51.76222,70,,,,,,
,,,,,49127,-58.749916,80,,,,,,
,,,,,49220,-57.30716,93,,,,,,
,,,,,49316,-243.53896,96,,,,,,
,,,,,49404,-96.25897,88,,,,,,
,,,,,49487,-46.20597,83,,,,,,
,,,,,49606,-26.590767,119,,,,,,
,,,,,49723,-91.97032,117,,,,,,
,,,,,49820,-83.46829,97,,,,,,
,,,,,49948,-88.856224,128,,,,,,
-216.6993,40.74853,-175.5321,-284.36264,219.5,50000,,,11.59503173828125,45.962921142578125,46.61598205566406,99.75489044189453,0.7,0.001
,,,,,50090,-24.197235,142,,,,,,
,,,,,50177,-78.37117,87,,,,,,
,,,,,50315,-41.730953,138,,,,,,
,,,,,50451,-274.039,136,,,,,,
,,,,,50555,-83.45394,104,,,,,,
,,,,,50642,-31.523209,87,,,,,,
,,,,,50752,-224.54825,110,,,,,,
,,,,,50848,-76.49013,96,,,,,,
,,,,,50950,-72.126274,102,,,,,,
,,,,,51000,,,6.61498498916626,44.76133728027344,44.555084228515625,62.7967643737793,0.694,0.001
,,,,,51033,-89.70366,83,,,,,,
,,,,,51151,-77.79198,118,,,,,,
,,,,,51235,-97.826744,84,,,,,,
,,,,,51308,-65.81361,73,,,,,,
,,,,,51424,-59.082554,116,,,,,,
,,,,,51518,-70.118126,94,,,,,,
,,,,,51643,-84.635574,125,,,,,,
,,,,,51761,-51.25789,118,,,,,,
,,,,,51884,-159.09454,123,,,,,,
,,,,,52000,,,46.56343078613281,39.55076599121094,39.237186431884766,101.44111633300781,0.688,0.001
,,,,,52018,-47.83245,134,,,,,,
,,,,,52151,-35.01535,133,,,,,,
,,,,,52260,-9.593834,109,,,,,,
,,,,,52348,-54.872852,88,,,,,,
,,,,,52466,-63.04036,118,,,,,,
,,,,,52545,-47.144367,79,,,,,,
,,,,,52624,-35.462677,79,,,,,,
,,,,,52721,-77.42887,97,,,,,,
,,,,,52813,-63.296135,92,,,,,,
